Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,2.54629609151788E-07,0.0662380069317921,-0.00124612656496132,0,0,0,47.6005101726764,1.47320470339389,4.60333655660155E-09,5.94449931020951E-09,2.81285745050572,-4.79908141039344E-07,1.47153611098612,0,0,0,0,0,0,package://Tiger_arm/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/base.STL,,底盘-1;肩部底盘-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_yaw,-0.0053121072866571,-0.00128217968756816,0.110119141133242,0,0,0,1.45038674924772,0.00422089433097854,-9.00654543341045E-07,-4.19750918096705E-05,0.00552395581650551,-8.28258512827932E-08,0.00183113993385906,0,0,0,0,0,0,package://Tiger_arm/meshes/shoulder_yaw.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/shoulder_yaw.STL,,肩部-1,cs1,axis1,shoulder_yaw,revolute,0,0.14927,0.149,0,0,-1.8753,base,0,0,-1,0,0,0,0,,,,,,,,
shoulder_pitch,1.09616016263914E-09,0.131773540140463,0.00038377150693758,0,0,0,0.238295313985988,0.0002148562191833,-9.6311987941255E-08,-1.17224790665464E-12,9.99752120065712E-05,8.02183120886886E-12,0.000223267073431432,0,0,0,0,0,0,package://Tiger_arm/meshes/shoulder_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/shoulder_pitch.STL,,上臂-1,cs2,axis2,shoulder_pitch,revolute,0,0,0.2125,1.5708,0.34795,0,shoulder_yaw,0,0,-1,0,0,0,0,,,,,,,,
Elbow,-0.00262385307086366,0.0255044939613573,0.00298409658847223,0,0,0,0.650445956289885,0.000395910111607093,4.81279358695777E-07,-5.53957348724011E-09,0.000806135658770104,1.37411049030121E-07,0.000909170727184665,0,0,0,0,0,0,package://Tiger_arm/meshes/Elbow.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/Elbow.STL,,肘关节-1,cs3,axis3,Elbow,revolute,0,0.28,0,0,0,0.26363,shoulder_pitch,0,0,1,0,0,0,0,,,,,,,,
Wrist_roll,4.17416057274522E-09,-0.00693348920369073,0.116850681679422,0,0,0,0.251980443777845,0.000148656005221232,-1.00551199323999E-12,7.59661194094204E-09,0.00012343379259067,-3.57029809037319E-07,0.000138610543332276,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_roll.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_roll.STL,,接头1轴-1,cs4,axis4,Wrist_roll,revolute,0.08,0,0,1.5708,-0.045373,1.5708,Elbow,0,0,1,0,0,0,0,,,,,,,,
Wrist_pitch,0.00570853997150164,0.0133593077339031,6.93889390390723E-17,0,0,0,0.108713030832722,4.29073724278947E-05,3.33970481676602E-07,6.7762635780344E-21,3.24960719415075E-05,-1.84759061619844E-20,5.16194511029778E-05,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_pitch.STL,1,1,1,1,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_pitch.STL,,接头2轴-1,cs5,axis5,Wrist_pitch,revolute,0,0,0.206,-1.5708,1.4864,3.1416,Wrist_roll,0,0,-1,0,0,0,0,,,,,,,,
Wrist_yaw,-2.51872257078789E-09,-0.00189759352082686,0.0292537071165866,0,0,0,0.0315216051343888,1.53760460299136E-05,2.61970625254985E-11,2.54168599653161E-13,1.32298811803762E-05,2.07233484449597E-07,1.00485757557239E-05,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_yaw.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://Tiger_arm/meshes/Wrist_yaw.STL,,接头轴头-1,cs6,axis6,Wrist_yaw,revolute,0,0,0,-0.064776,-1.5382,0.066283,Wrist_pitch,0,-0.9979,-0.064731,0,0,0,0,,,,,,,,
